2014-04-16 20:35:57 status unpacked findutils:amd64 4.4.2-7
2014-04-16 20:35:57 install gcc-4.9-base:amd64 <none> 4.9-20140406-0ubuntu1
2014-04-16 20:35:57 status half-installed gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2014-04-16 20:35:57 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2014-04-16 20:35:57 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2014-04-16 20:35:57 install grep:amd64 <none> 2.16-1
2014-04-16 20:35:57 status half-installed grep:amd64 2.16-1
2014-04-16 20:35:57 status unpacked grep:amd64 2.16-1
2014-04-16 20:35:57 status unpacked grep:amd64 2.16-1
2014-04-16 20:35:57 install gzip:amd64 <none> 1.6-3ubuntu1
2014-04-16 20:35:57 status half-installed gzip:amd64 1.6-3ubuntu1
2014-04-16 20:35:57 status unpacked gzip:amd64 1.6-3ubuntu1
2014-04-16 20:35:57 status unpacked gzip:amd64 1.6-3ubuntu1
2014-04-16 20:35:57 install hostname:amd64 <none> 3.15ubuntu1
2014-04-16 20:35:57 status half-installed hostname:amd64 3.15ubuntu1
2014-04-16 20:35:57 status unpacked hostname:amd64 3.15ubuntu1
2014-04-16 20:35:57 status unpacked hostname:amd64 3.15ubuntu1
2014-04-16 20:35:57 install ifupdown:amd64 <none> 0.7.47.2ubuntu4
2014-04-16 20:35:57 status half-installed ifupdown:amd64 0.7.47.2ubuntu4
2014-04-16 20:35:57 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2014-04-16 20:35:57 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2014-04-16 20:35:57 install initramfs-tools:all <none> 0.103ubuntu4
2014-04-16 20:35:57 status half-installed initramfs-tools:all 0.103ubuntu4
2014-04-16 20:35:57 status unpacked initramfs-tools:all 0.103ubuntu4
2014-04-16 20:35:57 status unpacked initramfs-tools:all 0.103ubuntu4
2014-04-16 20:35:57 install initramfs-tools-bin:amd64 <none> 0.103ubuntu4
2014-04-16 20:35:57 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4
2014-04-16 20:35:57 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2014-04-16 20:35:57 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2014-04-16 20:35:57 install initscripts:amd64 <none> 2.88dsf-41ubuntu6
2014-04-16 20:35:57 status half-installed initscripts:amd64 2.88dsf-41ubuntu6
2014-04-16 20:35:57 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2014-04-16 20:35:57 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2014-04-16 20:35:57 install insserv:amd64 <none> 1.14.0-5ubuntu2
2014-04-16 20:35:57 status half-installed insserv:amd64 1.14.0-5ubuntu2
2014-04-16 20:35:57 status unpacked insserv:amd64 1.14.0-5ubuntu2
2014-04-16 20:35:57 status unpacked insserv:amd64 1.14.0-5ubuntu2
2014-04-16 20:35:57 install iproute2:amd64 <none> 3.12.0-2
2014-04-16 20:35:57 status half-installed iproute2:amd64 3.12.0-2
2014-04-16 20:35:57 status unpacked iproute2:amd64 3.12.0-2
2014-04-16 20:35:57 status unpacked iproute2:amd64 3.12.0-2
2014-04-16 20:35:57 install klibc-utils:amd64 <none> 2.0.3-0ubuntu1
2014-04-16 20:35:57 status half-installed klibc-utils:amd64 2.0.3-0ubuntu1
2014-04-16 20:35:57 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2014-04-16 20:35:57 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2014-04-16 20:35:57 install kmod:amd64 <none> 15-0ubuntu6
2014-04-16 20:35:57 status half-installed kmod:amd64 15-0ubuntu6
2014-04-16 20:35:57 status unpacked kmod:amd64 15-0ubuntu6
2014-04-16 20:35:57 status unpacked kmod:amd64 15-0ubuntu6
2014-04-16 20:35:57 install libacl1:amd64 <none> 2.2.52-1
2014-04-16 20:35:57 status half-installed libacl1:amd64 2.2.52-1
2014-04-16 20:35:57 status unpacked libacl1:amd64 2.2.52-1
2014-04-16 20:35:57 status unpacked libacl1:amd64 2.2.52-1
2014-04-16 20:35:57 install libattr1:amd64 <none> 1:2.4.47-1ubuntu1
2014-04-16 20:35:57 status half-installed libattr1:amd64 1:2.4.47-1ubuntu1
2014-04-16 20:35:57 status unpacked libattr1:amd64 1:2.4.47-1ubuntu1
2014-04-16 20:35:57 status unpacked libattr1:amd64 1:2.4.47-1ubuntu1
2014-04-16 20:35:57 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2014-04-16 20:35:57 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
